QuestionType;Question;QuestionID;Answer_Participant_id1_condition_A;Answer_Participant_id2_condition_B;Answer_Participant_id3_condition_AB;Answer_Participant_id4_condition_B;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A
radio;UIST is an amazing conference;q1;4;4;2;;;4;5;;5
radio;VR is a beautiful research tool;q2;5;3;3;;;4;;;
radio;Happiness is the key to success;q3;5;;2;;;4;;;5
radio;Debugging is awesome;q4;5;4;4;1;5;6;5;5;7
radio;I like fixing bugs;q5;4;3;4;1;5;6;5;4;7
radio;I would use the VRQuestionnaireToolkit;q6;5;4;4;1;5;5;5;4;7
radioGrid;Hololens_The system was easy to use;q7;4;2;2;1;4;4;2;1;5
radioGrid;Oculus Rift_The system was easy to use;q7;3;2;2;1;4;4;2;2;5
radioGrid;Vive_The system was easy to use;q7;4;2;4;2;4;4;2;2;5
radioGrid;Magic Leap_The system was easy to use;q7;4;3;4;2;4;4;1;3;5
radioGrid;Hololens_The system was easy to use;q8;5;3;3;2;6;6;3;4;7
radioGrid;Oculus Rift_The system was easy to use;q8;6;3;3;1;6;6;3;5;7
radioGrid;Vive_The system was easy to use;q8;6;2;1;3;6;6;3;5;7
radioGrid;Magic Leap_The system was easy to use;q8;7;1;6;2;6;6;2;4;7
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive;q9;1;1;;1;;;1;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ;q9;1;;;1;;;1;;1
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ;q9;;;;1;;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ;q9;1;;;1;;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough;q9;1;;;1;;;;1;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming;q9;;1;;1;1;;;;
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;0;3;1;3;0;1;1;0;0
linearSlider;Physical Demand:				How physically demanding was the task?;s2;1;9;6;10;0;1;0;0;0
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;2;17;17;12;0;2;0;0;0

